,0,1
0,0,80997
1,1,1696
2,2,856
3,28,23
4,3,402
5,15,27
6,6,138
7,4,240
8,103,3
9,27,25
10,12,68
11,20,58
12,5,169
13,101,10
14,11,102
15,31,6
16,18,48
17,112,3
18,48,21
19,24,38
20,29,21
21,26,15
22,9,45
23,100,53
24,8,89
25,16,48
26,14,34
27,19,65
28,7,120
29,13,64
30,39,14
31,17,42
32,55,12
33,10,74
34,66,5
35,45,36
36,25,33
37,46,12
38,33,26
39,44,24
40,54,13
41,21,17
42,30,15
43,57,7
44,61,6
45,37,17
46,50,22
47,32,7
48,105,2
49,35,6
50,22,19
51,40,8
52,58,12
53,51,13
54,83,4
55,65,8
56,60,5
57,49,11
58,137,1
59,120,1
60,97,3
61,116,1
62,68,5
63,41,8
64,79,6
65,147,2
66,81,2
67,118,5
68,143,3
69,62,2
70,38,12
71,74,8
72,82,2
73,96,1
74,59,10
75,94,1
76,63,5
77,52,7
78,69,5
79,86,1
80,78,4
81,47,3
82,53,3
83,85,2
84,70,3
85,23,14
86,110,4
87,98,3
88,158,1
89,90,3
90,104,2
91,43,4
92,71,4
93,93,2
94,67,3
95,125,3
96,56,4
97,114,1
98,36,7
99,87,7
100,34,6
101,131,1
102,95,1
103,76,4
104,64,3
105,42,10
106,80,3
107,88,1
108,75,2
109,107,1
110,119,1
111,123,1
112,111,3
113,77,1
114,122,2
115,140,2
116,89,3
117,146,1
118,132,1
119,148,1
120,72,2
121,102,1
122,109,1
123,99,1
124,91,1
